dataset,model,seed,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,pr_auc,runtime_sec
CICIDS2017,LightGBM,8,420000,90000,0.9999111111111111,0.9995760466348702,0.9995760466348702,0.9995760466348702,0.9999994935082059,0.9999957985047263,105.16356348991394
CICIDS2017,XGBoost,8,420000,90000,0.9998777777777778,0.9995759117896522,0.9992580816110228,0.9994169714316001,0.9999889742656454,0.9999484597989569,40.238879442214966
CICIDS2017,LightGBM,9,420000,90000,0.9999,0.9994701144552777,0.9995760466348702,0.9995230777383286,0.9999993619518956,0.9999947128384147,88.20257925987244
CICIDS2017,XGBoost,9,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999880033800763,0.9999454720074847,55.74435782432556
CICIDS2017,LightGBM,10,420000,90000,0.9999,0.9995760016959933,0.9994700582935877,0.9995230271874503,0.9999995961221277,0.999996616384604,53.99463677406311
CICIDS2017,XGBoost,10,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999776604229713,0.9999294397836529,130.46581149101257
CICIDS2017,LightGBM,11,420000,90000,0.9998888888888889,0.9994700582935877,0.9994700582935877,0.9994700582935877,0.999999197506508,0.9999934824812721,169.4904806613922
CICIDS2017,XGBoost,11,420000,90000,0.9998777777777778,0.9994700021199915,0.9993640699523052,0.9994170332291059,0.999991909286925,0.9999565546820101,166.66712737083435
CICIDS2017,LightGBM,12,420000,90000,0.9998888888888889,0.9994700582935877,0.9994700582935877,0.9994700582935877,0.9999992317111488,0.9999937218738097,223.19706320762634
CICIDS2017,XGBoost,12,420000,90000,0.9998666666666667,0.9994699459344853,0.9992580816110228,0.9993640025439898,0.9999830963297072,0.9999364483851314,171.03891444206238
CICIDS2017,LightGBM,13,420000,90000,0.9999,0.9994701144552777,0.9995760466348702,0.9995230777383286,0.9999992803869835,0.99999408293971,211.85416531562805
CICIDS2017,XGBoost,13,420000,90000,0.9998777777777778,0.9995759117896522,0.9992580816110228,0.9994169714316001,0.9999870035521191,0.999943438826304,176.66843175888062
CICIDS2017,LightGBM,14,420000,90000,0.9999,0.9995760016959933,0.9994700582935877,0.9995230271874503,0.9999994645658177,0.999995549459762,210.78375554084778
CICIDS2017,XGBoost,14,420000,90000,0.9998777777777778,0.9995759117896522,0.9992580816110228,0.9994169714316001,0.9999845513424976,0.999939001542769,192.5370488166809
CICIDS2017,LightGBM,15,420000,90000,0.9999,0.9994701144552777,0.9995760466348702,0.9995230777383286,0.9999995053482738,0.9999958974595311,243.37085890769958
CICIDS2017,XGBoost,15,420000,90000,0.9998666666666667,0.9994699459344853,0.9992580816110228,0.9993640025439898,0.9999837343778115,0.9999374137719199,163.89829969406128
CICIDS2017,LightGBM,16,420000,90000,0.9999,0.9995760016959933,0.9994700582935877,0.9995230271874503,0.9999995487618561,0.9999962307542429,201.2143361568451
CICIDS2017,XGBoost,16,420000,90000,0.9998666666666667,0.9995758668221821,0.9991520932697403,0.9993639351213823,0.9999835751946762,0.9999374319157479,209.1011962890625
CICIDS2017,LightGBM,17,420000,90000,0.9999,0.9994701144552777,0.9995760466348702,0.9995230777383286,0.9999992146088283,0.9999935796994303,176.2572979927063
CICIDS2017,XGBoost,17,420000,90000,0.9998666666666667,0.9995758668221821,0.9991520932697403,0.9993639351213823,0.9999710391938809,0.9999228912524931,149.66121435165405
CICIDS2017,LightGBM,18,420000,90000,0.9999,0.9994701144552777,0.9995760466348702,0.9995230777383286,0.9999991751419353,0.9999932984373843,212.49604177474976
CICIDS2017,XGBoost,18,420000,90000,0.9998666666666667,0.9995758668221821,0.9991520932697403,0.9993639351213823,0.9999859234748126,0.999941806246553,165.72607946395874
CICIDS2017,LightGBM,19,420000,90000,0.9998888888888889,0.9994700582935877,0.9994700582935877,0.9994700582935877,0.9999994619346915,0.9999955403356913,183.9717571735382
CICIDS2017,XGBoost,19,420000,90000,0.9998666666666667,0.9995758668221821,0.9991520932697403,0.9993639351213823,0.9999758317902601,0.9999275169158894,158.41477727890015
CICIDS2017,LightGBM,20,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999994974548951,0.9999958270602107,182.97954535484314
CICIDS2017,XGBoost,20,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999824727527971,0.9999360017955624,159.84046125411987
